node	node_type
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.131.240.400.560.540.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C07.650.800	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.200.777.934.600	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.132.100.435.825	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.378.147.150	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.280.400.560.540.500	MeSH_Tree_Disease
MeSH_Disease:D002694	MeSH_Tree_Disease
MeSH_Disease:D013590	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.592.612.540.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.104	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.850.908.416.750	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.300.707.374.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.320.850.738	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.588.149.721	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.228.205.250	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.292.175	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.950.419.403.500	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.240.400.920	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.950.829	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.925.782.580.600.550	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.888.592.612.664.675	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.986.450	MeSH_Tree_Disease
MeSH_Disease:D052536	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.925.839.850	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.140.199.275.300	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.270.516	MeSH_Tree_Disease
MeSH_Disease:D014855	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.588.614.550.700	MeSH_Tree_Disease
MeSH_Tree_Disease:C15.378.100.832	MeSH_Tree_Disease
MeSH_Tree_Disease:C01.375.354.900	MeSH_Tree_Disease
MeSH_Tree_Disease:F03.615.250.400	MeSH_Tree_Disease
MeSH_Tree_Disease:C15.378.925.050	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.610.335.508.100.275.882	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C17.800.849.391.400	MeSH_Tree_Disease
MeSH_Tree_Disease:C17.800.174.255.700	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C11.294.800.450	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.668.758.725	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.240.400.725	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.757.360	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.111.258.500.150	MeSH_Tree_Disease
MeSH_Tree_Disease:C19.391.119.096.562	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.850.750	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.079.862.800.600	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.683.515.761	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.099.310	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C01.610.105.250	MeSH_Tree_Disease
MeSH_Disease:D003556	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C12.100.875.871	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.621.207.532.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C06.301.371.767	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.557.450.565.575.400	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.300.575.185	MeSH_Tree_Disease
MeSH_Disease:D017699	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.320.565.595.554.825.590	MeSH_Tree_Disease
MeSH_Disease:D002873	MeSH_Tree_Disease
MeSH_Disease:D001416	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.291.500.266	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:F03.625.164	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.140.140.127	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.280.067.565.070	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.588.443.591.824.695	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.450.550.420.425	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.666.205	MeSH_Tree_Disease
MeSH_Tree_Disease:C14.907.940.090	MeSH_Tree_Disease
MeSH_Disease:D055010	MeSH_Tree_Disease
MeSH_Tree_Disease:C04.557.450.565.575.650.655	MeSH_Tree_Disease
